"cod_agente";"provvigione";"rag_soc"
"0";"0,0";""
"1";"5,0";"AGENTE 1"
"10";"5,0";"AGENTE 2"
"11";"6,0";"AGENTE 3"
"12";"5,0";"AGENTE 4"
"13";"6,0";"AGENTE 5"
"14";"0,0";"AGENTE 6"
"15";"0,0";"AGENTE 7"
"16";"5,0";"AGENTE 8"
"17";"0,0";"AGENTE 9"
"18";"10,0";"AGENTE 10"
"19";"0,0";"AGENTE 11"
"2";"5,0";"AGENTE 12"
"20";"5,0";"AGENTE 13"
"21";"0,0";"AGENTE 14"
"22";"15,0";"AGENTE 15"
"23";"0,0";"AGENTE 16"
"3";"5,0";"AGENTE 17"
"4";"0,5";"AGENTE 18"
"5";"0,0";"AGENTE 19"
"6";"0,5";"AGENTE 20"
"7";"8,0";"AGENTE 21"
"8";"5,0";"AGENTE 22"
"9";"4,0";"AGENTE 23"
